A1:1
C1:1
G***:16
G***1:1
G***13:1
G***18:1
G***19:1
G***2:1
G***3:1
G***34:1
G***38:1
G***39:1
G***40:1
G***44:1
G***7:1
G***8:1
G***9:1
LED1:1
R1:1
REF**:1
U1:1
